history_id,opportunity_id,field,old_value,new_value,created_date,created_by
HIST-0000028,OPP-00005,Amount,,39600,2022-03-29,James Harrington
HIST-0000029,OPP-00005,StageName,1 - Prospecting,7 - Closed Lost,2022-05-30,James Harrington
HIST-0000030,OPP-00006,StageName,,1 - Prospecting,2021-08-30,Natalie Foster
HIST-0000031,OPP-00006,CloseDate,,2023-04-21,2021-08-30,Natalie Foster
HIST-0000032,OPP-00006,Amount,,6900,2021-08-30,Natalie Foster
HIST-0000033,OPP-00006,StageName,1 - Prospecting,2 - Scoping,2021-09-17,Natalie Foster
HIST-0000034,OPP-00006,StageName,2 - Scoping,7 - Closed Lost,2023-04-21,Natalie Foster
HIST-0000035,OPP-00007,StageName,,1 - Prospecting,2024-03-15,Marcus Webb
HIST-0000036,OPP-00007,CloseDate,,2025-12-31,2024-03-15,Marcus Webb
HIST-0000037,OPP-00007,Amount,,4900,2024-03-15,Marcus Webb
HIST-0000038,OPP-00007,StageName,1 - Prospecting,2 - Scoping,2024-05-02,Marcus Webb
HIST-0000039,OPP-00007,StageName,2 - Scoping,3 - Engaged,2024-05-18,Marcus Webb
HIST-0000040,OPP-00007,StageName,3 - Engaged,4 - Proposal,2024-06-26,Marcus Webb
HIST-0000041,OPP-00007,StageName,4 - Proposal,5 - Negotiation,2024-07-24,Marcus Webb
HIST-0000042,OPP-00007,StageName,5 - Negotiation,4 - Proposal,2024-10-20,Marcus Webb
HIST-0000043,OPP-00007,StageName,4 - Proposal,6 - Closed Won,2026-01-13,Marcus Webb
HIST-0000044,OPP-00007,CloseDate,2025-12-31,2025-10-31,2025-12-10,Marcus Webb
HIST-0000045,OPP-00007,CloseDate,2025-10-31,2025-11-30,2025-12-11,Marcus Webb
HIST-0000046,OPP-00007,CloseDate,2025-11-30,2026-01-13,2025-12-12,Marcus Webb
HIST-0000047,OPP-00008,StageName,,1 - Prospecting,2021-05-03,Samantha Lee
HIST-0000048,OPP-00008,CloseDate,,2022-02-28,2021-05-03,Samantha Lee
HIST-0000049,OPP-00008,Amount,,69700,2021-05-03,Samantha Lee
HIST-0000050,OPP-00008,StageName,1 - Prospecting,2 - Scoping,2021-06-04,Samantha Lee
HIST-0000051,OPP-00008,StageName,2 - Scoping,3 - Engaged,2021-07-30,Samantha Lee
HIST-0000052,OPP-00008,StageName,3 - Engaged,4 - Proposal,2021-08-23,Samantha Lee
HIST-0000053,OPP-00008,StageName,4 - Proposal,5 - Negotiation,2021-10-14,Samantha Lee
HIST-0000054,OPP-00008,StageName,5 - Negotiation,4 - Proposal,2022-03-29,Samantha Lee
HIST-0000055,OPP-00008,StageName,4 - Proposal,5 - Negotiation,2022-05-04,Samantha Lee
HIST-0000056,OPP-00008,StageName,5 - Negotiation,6 - Closed Won,2023-02-10,Samantha Lee
HIST-0000057,OPP-00008,CloseDate,2022-02-28,2022-05-31,2022-02-07,Samantha Lee
HIST-0000058,OPP-00008,CloseDate,2022-05-31,2022-08-31,2022-05-03,Samantha Lee
HIST-0000059,OPP-00008,CloseDate,2022-08-31,2022-09-30,2022-08-03,Samantha Lee
HIST-0000060,OPP-00008,CloseDate,2022-09-30,2022-11-30,2022-09-16,Samantha Lee
HIST-0000061,OPP-00008,CloseDate,2022-11-30,2023-02-10,2022-11-02,Samantha Lee
HIST-0000062,OPP-00009,StageName,,1 - Prospecting,2023-08-12,Tyler Brooks
HIST-0000063,OPP-00009,CloseDate,,2025-04-30,2023-08-12,Tyler Brooks
HIST-0000064,OPP-00009,Amount,,288500,2023-08-12,Tyler Brooks
HIST-0000065,OPP-00009,StageName,1 - Prospecting,2 - Scoping,2023-09-28,Tyler Brooks
HIST-0000066,OPP-00009,StageName,2 - Scoping,3 - Engaged,2023-11-21,Tyler Brooks
HIST-0000067,OPP-00009,StageName,3 - Engaged,4 - Proposal,2024-01-12,Tyler Brooks
HIST-0000068,OPP-00009,StageName,4 - Proposal,5 - Negotiation,2024-02-07,Tyler Brooks
HIST-0000069,OPP-00009,StageName,5 - Negotiation,6 - Closed Won,2024-02-27,Tyler Brooks
HIST-0000070,OPP-00009,StageName,6 - Closed Won,7 - Closed Lost,2025-04-17,Tyler Brooks
HIST-0000071,OPP-00009,CloseDate,2025-04-30,2025-07-31,2025-04-16,Tyler Brooks
HIST-0000072,OPP-00009,CloseDate,2025-07-31,2025-05-31,2025-07-10,Tyler Brooks
HIST-0000073,OPP-00009,CloseDate,2025-05-31,2025-03-31,2025-07-11,Tyler Brooks
HIST-0000074,OPP-00009,CloseDate,2025-03-31,2025-04-17,2025-07-12,Tyler Brooks
HIST-0000075,OPP-00010,StageName,,1 - Prospecting,2024-12-02,Antonio Rodriguez
HIST-0000076,OPP-00010,CloseDate,,2025-04-30,2024-12-02,Antonio Rodriguez
HIST-0000077,OPP-00010,Amount,,33100,2024-12-02,Antonio Rodriguez
HIST-0000078,OPP-00010,StageName,1 - Prospecting,2 - Scoping,2025-01-25,Antonio Rodriguez
HIST-0000079,OPP-00010,StageName,2 - Scoping,3 - Engaged,2025-03-10,Antonio Rodriguez
HIST-0000080,OPP-00010,StageName,3 - Engaged,4 - Proposal,2025-03-28,Antonio Rodriguez
HIST-0000081,OPP-00010,StageName,4 - Proposal,5 - Negotiation,2025-05-10,Antonio Rodriguez
HIST-0000082,OPP-00010,StageName,5 - Negotiation,4 - Proposal,2025-07-15,Antonio Rodriguez
HIST-0000083,OPP-00010,StageName,4 - Proposal,6 - Closed Won,2025-08-23,Antonio Rodriguez
HIST-0000084,OPP-00010,CloseDate,2025-04-30,2025-05-31,2025-04-09,Antonio Rodriguez
HIST-0000085,OPP-00010,CloseDate,2025-05-31,2025-06-30,2025-05-17,Antonio Rodriguez
HIST-0000086,OPP-00010,CloseDate,2025-06-30,2025-08-23,2025-06-16,Antonio Rodriguez
HIST-0000087,OPP-00011,StageName,,1 - Prospecting,2025-02-02,Tyler Brooks
HIST-0000088,OPP-00011,CloseDate,,2026-05-22,2025-02-02,Tyler Brooks
HIST-0000089,OPP-00011,Amount,,324400,2025-02-02,Tyler Brooks
HIST-0000090,OPP-00012,StageName,,1 - Prospecting,2025-03-31,Samantha Lee
HIST-0000091,OPP-00012,CloseDate,,2025-10-07,2025-03-31,Samantha Lee
HIST-0000092,OPP-00012,Amount,,127700,2025-03-31,Samantha Lee
HIST-0000093,OPP-00012,StageName,1 - Prospecting,2 - Scoping,2025-05-18,Samantha Lee
HIST-0000094,OPP-00012,StageName,2 - Scoping,6 - Closed Won,2025-10-07,Samantha Lee
HIST-0000095,OPP-00013,StageName,,1 - Prospecting,2021-06-08,Sarah Mitchell
HIST-0000096,OPP-00013,CloseDate,,2022-09-30,2021-06-08,Sarah Mitchell
HIST-0000097,OPP-00013,Amount,,841800,2021-06-08,Sarah Mitchell
HIST-0000098,OPP-00013,StageName,1 - Prospecting,2 - Scoping,2021-07-06,Sarah Mitchell
HIST-0000099,OPP-00013,StageName,2 - Scoping,3 - Engaged,2021-08-28,Sarah Mitchell
HIST-0000100,OPP-00013,StageName,3 - Engaged,4 - Proposal,2021-09-14,Sarah Mitchell
HIST-0000101,OPP-00013,StageName,4 - Proposal,5 - Negotiation,2021-11-07,Sarah Mitchell
HIST-0000102,OPP-00013,StageName,5 - Negotiation,6 - Closed Won,2021-12-10,Sarah Mitchell
HIST-0000103,OPP-00013,StageName,6 - Closed Won,7 - Closed Lost,2023-01-15,Sarah Mitchell
HIST-0000104,OPP-00013,CloseDate,2022-09-30,2022-10-31,2022-09-02,Sarah Mitchell
HIST-0000105,OPP-00013,CloseDate,2022-10-31,2023-01-15,2022-10-10,Sarah Mitchell
HIST-0000106,OPP-00014,StageName,,1 - Prospecting,2022-12-19,Antonio Rodriguez
HIST-0000107,OPP-00014,CloseDate,,2023-11-30,2022-12-19,Antonio Rodriguez
HIST-0000108,OPP-00014,Amount,,1400,2022-12-19,Antonio Rodriguez
HIST-0000109,OPP-00014,StageName,1 - Prospecting,2 - Scoping,2023-01-25,Antonio Rodriguez
HIST-0000110,OPP-00014,StageName,2 - Scoping,1 - Prospecting,2023-03-17,Antonio Rodriguez
HIST-0000111,OPP-00014,StageName,1 - Prospecting,2 - Scoping,2023-04-25,Antonio Rodriguez
HIST-0000112,OPP-00014,StageName,2 - Scoping,3 - Engaged,2023-05-19,Antonio Rodriguez
HIST-0000113,OPP-00014,StageName,3 - Engaged,4 - Proposal,2023-06-02,Antonio Rodriguez
HIST-0000114,OPP-00014,StageName,4 - Proposal,5 - Negotiation,2023-07-21,Antonio Rodriguez
HIST-0000115,OPP-00014,StageName,5 - Negotiation,6 - Closed Won,2023-08-11,Antonio Rodriguez
HIST-0000116,OPP-00014,StageName,6 - Closed Won,5 - Negotiation,2023-08-29,Antonio Rodriguez
HIST-0000117,OPP-00014,StageName,5 - Negotiation,6 - Closed Won,2023-09-22,Antonio Rodriguez
HIST-0000118,OPP-00014,StageName,6 - Closed Won,7 - Closed Lost,2024-09-02,Antonio Rodriguez
HIST-0000119,OPP-00014,CloseDate,2023-11-30,2024-01-31,2023-11-02,Antonio Rodriguez
HIST-0000120,OPP-00014,CloseDate,2024-01-31,2024-03-31,2024-01-03,Antonio Rodriguez
HIST-0000121,OPP-00014,CloseDate,2024-03-31,2024-06-30,2024-03-17,Antonio Rodriguez
HIST-0000122,OPP-00014,CloseDate,2024-06-30,2024-09-02,2024-06-16,Antonio Rodriguez
HIST-0000123,OPP-00015,StageName,,1 - Prospecting,2022-07-07,Sarah Mitchell
HIST-0000124,OPP-00015,CloseDate,,2023-11-19,2022-07-07,Sarah Mitchell
HIST-0000125,OPP-00015,Amount,,729200,2022-07-07,Sarah Mitchell
HIST-0000126,OPP-00015,StageName,1 - Prospecting,2 - Scoping,2022-07-21,Sarah Mitchell
HIST-0000127,OPP-00015,StageName,2 - Scoping,7 - Closed Lost,2023-11-19,Sarah Mitchell
HIST-0000128,OPP-00016,StageName,,1 - Prospecting,2024-08-18,Sarah Mitchell
HIST-0000129,OPP-00016,CloseDate,,2026-03-31,2024-08-18,Sarah Mitchell
HIST-0000130,OPP-00016,Amount,,210600,2024-08-18,Sarah Mitchell
HIST-0000131,OPP-00016,StageName,1 - Prospecting,2 - Scoping,2024-09-01,Sarah Mitchell
HIST-0000132,OPP-00016,StageName,2 - Scoping,3 - Engaged,2024-09-17,Sarah Mitchell
HIST-0000133,OPP-00016,StageName,3 - Engaged,2 - Scoping,2024-10-29,Sarah Mitchell
HIST-0000134,OPP-00016,StageName,2 - Scoping,3 - Engaged,2024-12-19,Sarah Mitchell
HIST-0000135,OPP-00016,StageName,3 - Engaged,4 - Proposal,2025-01-29,Sarah Mitchell
HIST-0000136,OPP-00016,StageName,4 - Proposal,3 - Engaged,2025-03-23,Sarah Mitchell
HIST-0000137,OPP-00016,StageName,3 - Engaged,4 - Proposal,2025-05-08,Sarah Mitchell
HIST-0000138,OPP-00016,StageName,4 - Proposal,5 - Negotiation,2025-06-27,Sarah Mitchell
HIST-0000139,OPP-00016,CloseDate,2026-03-31,2026-02-28,2026-03-03,Sarah Mitchell
HIST-0000140,OPP-00016,CloseDate,2026-02-28,2026-05-31,2026-03-04,Sarah Mitchell
HIST-0000141,OPP-00016,CloseDate,2026-05-31,2026-04-16,2026-04-11,Sarah Mitchell
HIST-0000142,OPP-00017,StageName,,1 - Prospecting,2025-12-22,Samantha Lee
HIST-0000143,OPP-00017,CloseDate,,2026-03-31,2025-12-22,Samantha Lee
HIST-0000144,OPP-00017,Amount,,196100,2025-12-22,Samantha Lee
HIST-0000145,OPP-00017,StageName,1 - Prospecting,2 - Scoping,2026-01-19,Samantha Lee
HIST-0000146,OPP-00017,CloseDate,2026-03-31,2026-04-30,2026-03-03,Samantha Lee
HIST-0000147,OPP-00017,CloseDate,2026-04-30,2026-06-26,2026-04-11,Samantha Lee
HIST-0000148,OPP-00018,StageName,,1 - Prospecting,2023-10-09,Rachel Nguyen
HIST-0000149,OPP-00018,CloseDate,,2023-12-23,2023-10-09,Rachel Nguyen
HIST-0000150,OPP-00018,Amount,,24800,2023-10-09,Rachel Nguyen
HIST-0000151,OPP-00018,StageName,1 - Prospecting,6 - Closed Won,2023-12-23,Rachel Nguyen
HIST-0000152,OPP-00019,StageName,,1 - Prospecting,2023-03-12,Marcus Webb
HIST-0000153,OPP-00019,CloseDate,,2024-08-16,2023-03-12,Marcus Webb
HIST-0000154,OPP-00019,Amount,,19400,2023-03-12,Marcus Webb
HIST-0000155,OPP-00019,StageName,1 - Prospecting,6 - Closed Won,2024-08-16,Marcus Webb
HIST-0000156,OPP-00019,Amount,19400,15800,2024-03-10,Marcus Webb
HIST-0000157,OPP-00020,StageName,,1 - Prospecting,2021-10-08,Derek Thompson
HIST-0000158,OPP-00020,CloseDate,,2023-01-06,2021-10-08,Derek Thompson
HIST-0000159,OPP-00020,Amount,,40600,2021-10-08,Derek Thompson
HIST-0000160,OPP-00020,StageName,1 - Prospecting,7 - Closed Lost,2023-01-06,Derek Thompson
HIST-0000161,OPP-00021,StageName,,1 - Prospecting,2024-10-30,Sarah Mitchell
HIST-0000162,OPP-00021,CloseDate,,2025-12-08,2024-10-30,Sarah Mitchell
HIST-0000163,OPP-00021,Amount,,11200,2024-10-30,Sarah Mitchell
HIST-0000164,OPP-00021,StageName,1 - Prospecting,7 - Closed Lost,2025-12-08,Sarah Mitchell
HIST-0000165,OPP-00022,StageName,,1 - Prospecting,2024-09-10,Samantha Lee
HIST-0000166,OPP-00022,CloseDate,,2025-05-21,2024-09-10,Samantha Lee
HIST-0000167,OPP-00022,Amount,,46700,2024-09-10,Samantha Lee
HIST-0000168,OPP-00022,StageName,1 - Prospecting,2 - Scoping,2024-10-18,Samantha Lee
HIST-0000169,OPP-00022,StageName,2 - Scoping,3 - Engaged,2024-12-12,Samantha Lee
HIST-0000170,OPP-00022,StageName,3 - Engaged,6 - Closed Won,2025-05-21,Samantha Lee
HIST-0000171,OPP-00022,Amount,46700,60900,2024-11-18,Samantha Lee
HIST-0000172,OPP-00023,StageName,,1 - Prospecting,2021-01-09,Marcus Webb
HIST-0000173,OPP-00023,CloseDate,,2021-01-31,2021-01-09,Marcus Webb
HIST-0000174,OPP-00023,Amount,,30400,2021-01-09,Marcus Webb
HIST-0000175,OPP-00023,StageName,1 - Prospecting,2 - Scoping,2021-02-20,Marcus Webb
HIST-0000176,OPP-00023,StageName,2 - Scoping,1 - Prospecting,2021-04-08,Marcus Webb
HIST-0000177,OPP-00023,StageName,1 - Prospecting,2 - Scoping,2021-05-08,Marcus Webb
HIST-0000178,OPP-00023,StageName,2 - Scoping,7 - Closed Lost,2021-06-22,Marcus Webb
HIST-0000179,OPP-00023,CloseDate,2021-01-31,2021-03-31,2021-01-10,Marcus Webb
HIST-0000180,OPP-00023,CloseDate,2021-03-31,2021-06-22,2021-03-17,Marcus Webb
HIST-0000181,OPP-00024,StageName,,1 - Prospecting,2021-09-15,Jennifer Walsh
HIST-0000182,OPP-00024,CloseDate,,2023-05-31,2021-09-15,Jennifer Walsh
HIST-0000183,OPP-00024,Amount,,274800,2021-09-15,Jennifer Walsh
HIST-0000184,OPP-00024,StageName,1 - Prospecting,2 - Scoping,2021-10-03,Jennifer Walsh
HIST-0000185,OPP-00024,StageName,2 - Scoping,3 - Engaged,2021-11-03,Jennifer Walsh
HIST-0000186,OPP-00024,StageName,3 - Engaged,4 - Proposal,2021-12-18,Jennifer Walsh
HIST-0000187,OPP-00024,StageName,4 - Proposal,3 - Engaged,2022-02-08,Jennifer Walsh
HIST-0000188,OPP-00024,StageName,3 - Engaged,2 - Scoping,2022-02-23,Jennifer Walsh
HIST-0000189,OPP-00024,StageName,2 - Scoping,3 - Engaged,2022-03-14,Jennifer Walsh
HIST-0000190,OPP-00024,StageName,3 - Engaged,4 - Proposal,2022-04-23,Jennifer Walsh
HIST-0000191,OPP-00024,StageName,4 - Proposal,5 - Negotiation,2022-06-18,Jennifer Walsh
HIST-0000192,OPP-00024,StageName,5 - Negotiation,7 - Closed Lost,2023-09-07,Jennifer Walsh
HIST-0000193,OPP-00024,CloseDate,2023-05-31,2023-03-31,2023-05-17,Jennifer Walsh
HIST-0000194,OPP-00024,CloseDate,2023-03-31,2023-05-31,2023-05-18,Jennifer Walsh
HIST-0000195,OPP-00024,CloseDate,2023-05-31,2023-06-30,2023-05-19,Jennifer Walsh
HIST-0000196,OPP-00024,CloseDate,2023-06-30,2023-09-07,2023-06-09,Jennifer Walsh
HIST-0000197,OPP-00025,StageName,,1 - Prospecting,2023-07-25,Kevin O'Brien
HIST-0000198,OPP-00025,CloseDate,,2025-04-30,2023-07-25,Kevin O'Brien
HIST-0000199,OPP-00025,Amount,,11500,2023-07-25,Kevin O'Brien
HIST-0000200,OPP-00025,StageName,1 - Prospecting,2 - Scoping,2023-09-17,Kevin O'Brien
HIST-0000201,OPP-00025,StageName,2 - Scoping,7 - Closed Lost,2025-07-05,Kevin O'Brien
HIST-0000202,OPP-00025,CloseDate,2025-04-30,2025-07-05,2025-04-16,Kevin O'Brien
HIST-0000203,OPP-00025,Amount,11500,10900,2023-10-05,Kevin O'Brien
HIST-0000204,OPP-00026,StageName,,1 - Prospecting,2023-09-14,Derek Thompson
HIST-0000205,OPP-00026,CloseDate,,2025-05-31,2023-09-14,Derek Thompson
HIST-0000206,OPP-00026,Amount,,56900,2023-09-14,Derek Thompson
HIST-0000207,OPP-00026,StageName,1 - Prospecting,2 - Scoping,2023-10-28,Derek Thompson
HIST-0000208,OPP-00026,StageName,2 - Scoping,7 - Closed Lost,2025-07-09,Derek Thompson
HIST-0000209,OPP-00026,CloseDate,2025-05-31,2025-07-09,2025-05-10,Derek Thompson
HIST-0000210,OPP-00027,StageName,,1 - Prospecting,2021-11-29,Marcus Webb
HIST-0000211,OPP-00027,CloseDate,,2022-02-28,2021-11-29,Marcus Webb
HIST-0000212,OPP-00027,Amount,,111600,2021-11-29,Marcus Webb
HIST-0000213,OPP-00027,StageName,1 - Prospecting,2 - Scoping,2022-01-17,Marcus Webb
HIST-0000214,OPP-00027,StageName,2 - Scoping,3 - Engaged,2022-02-09,Marcus Webb
HIST-0000215,OPP-00027,StageName,3 - Engaged,4 - Proposal,2022-03-16,Marcus Webb
HIST-0000216,OPP-00027,StageName,4 - Proposal,7 - Closed Lost,2022-04-05,Marcus Webb
HIST-0000217,OPP-00027,CloseDate,2022-02-28,2022-04-05,2022-02-14,Marcus Webb
HIST-0000218,OPP-00027,Amount,111600,91700,2022-01-18,Marcus Webb
HIST-0000219,OPP-00027,Amount,91700,108200,2022-03-03,Marcus Webb
HIST-0000220,OPP-00028,StageName,,1 - Prospecting,2024-01-04,Olivia Chen
HIST-0000221,OPP-00028,CloseDate,,2024-03-31,2024-01-04,Olivia Chen
HIST-0000222,OPP-00028,Amount,,42700,2024-01-04,Olivia Chen
HIST-0000223,OPP-00028,StageName,1 - Prospecting,2 - Scoping,2024-02-22,Olivia Chen
HIST-0000224,OPP-00028,StageName,2 - Scoping,1 - Prospecting,2024-03-19,Olivia Chen
HIST-0000225,OPP-00028,StageName,1 - Prospecting,7 - Closed Lost,2024-05-01,Olivia Chen
HIST-0000226,OPP-00028,CloseDate,2024-03-31,2024-05-01,2024-03-03,Olivia Chen
HIST-0000227,OPP-00028,Amount,42700,39700,2024-02-06,Olivia Chen
HIST-0000228,OPP-00029,StageName,,1 - Prospecting,2024-06-11,Tyler Brooks
HIST-0000229,OPP-00029,CloseDate,,2025-01-31,2024-06-11,Tyler Brooks
HIST-0000230,OPP-00029,Amount,,254300,2024-06-11,Tyler Brooks
HIST-0000231,OPP-00029,StageName,1 - Prospecting,2 - Scoping,2024-06-27,Tyler Brooks
HIST-0000232,OPP-00029,StageName,2 - Scoping,3 - Engaged,2024-08-15,Tyler Brooks
HIST-0000233,OPP-00029,StageName,3 - Engaged,4 - Proposal,2024-09-12,Tyler Brooks
HIST-0000234,OPP-00029,StageName,4 - Proposal,5 - Negotiation,2024-11-05,Tyler Brooks
HIST-0000235,OPP-00029,StageName,5 - Negotiation,6 - Closed Won,2025-07-16,Tyler Brooks
HIST-0000236,OPP-00029,CloseDate,2025-01-31,2025-03-31,2025-01-17,Tyler Brooks
HIST-0000237,OPP-00029,CloseDate,2025-03-31,2025-04-30,2025-03-17,Tyler Brooks
HIST-0000238,OPP-00029,CloseDate,2025-04-30,2025-07-16,2025-04-09,Tyler Brooks
HIST-0000239,OPP-00029,Amount,254300,207200,2024-11-01,Tyler Brooks
HIST-0000240,OPP-00029,Amount,207200,203700,2025-03-13,Tyler Brooks
HIST-0000241,OPP-00030,StageName,,1 - Prospecting,2023-08-30,Brian Kim
HIST-0000242,OPP-00030,CloseDate,,2024-01-17,2023-08-30,Brian Kim
HIST-0000243,OPP-00030,Amount,,3800,2023-08-30,Brian Kim
HIST-0000244,OPP-00030,StageName,1 - Prospecting,2 - Scoping,2023-10-25,Brian Kim
HIST-0000245,OPP-00030,StageName,2 - Scoping,6 - Closed Won,2024-01-17,Brian Kim
HIST-0000246,OPP-00030,Amount,3800,3600,2023-12-30,Brian Kim
HIST-0000247,OPP-00031,StageName,,1 - Prospecting,2023-09-18,Rachel Nguyen
HIST-0000248,OPP-00031,CloseDate,,2024-08-17,2023-09-18,Rachel Nguyen
HIST-0000249,OPP-00031,Amount,,1200,2023-09-18,Rachel Nguyen
HIST-0000250,OPP-00031,StageName,1 - Prospecting,2 - Scoping,2023-10-08,Rachel Nguyen
HIST-0000251,OPP-00031,StageName,2 - Scoping,3 - Engaged,2023-11-13,Rachel Nguyen
HIST-0000252,OPP-00031,StageName,3 - Engaged,6 - Closed Won,2024-08-17,Rachel Nguyen
HIST-0000253,OPP-00032,StageName,,1 - Prospecting,2023-09-08,Antonio Rodriguez
HIST-0000254,OPP-00032,CloseDate,,2025-05-31,2023-09-08,Antonio Rodriguez
HIST-0000255,OPP-00032,Amount,,3900,2023-09-08,Antonio Rodriguez
HIST-0000256,OPP-00032,StageName,1 - Prospecting,2 - Scoping,2023-09-30,Antonio Rodriguez
HIST-0000257,OPP-00032,StageName,2 - Scoping,3 - Engaged,2023-10-22,Antonio Rodriguez
HIST-0000258,OPP-00032,StageName,3 - Engaged,6 - Closed Won,2025-08-31,Antonio Rodriguez
HIST-0000259,OPP-00032,CloseDate,2025-05-31,2025-08-31,2025-05-17,Antonio Rodriguez
HIST-0000260,OPP-00033,StageName,,1 - Prospecting,2023-01-11,Rachel Nguyen
HIST-0000261,OPP-00033,CloseDate,,2023-09-30,2023-01-11,Rachel Nguyen
HIST-0000262,OPP-00033,Amount,,138200,2023-01-11,Rachel Nguyen
HIST-0000263,OPP-00033,StageName,1 - Prospecting,2 - Scoping,2023-02-08,Rachel Nguyen
HIST-0000264,OPP-00033,StageName,2 - Scoping,3 - Engaged,2023-02-26,Rachel Nguyen
HIST-0000265,OPP-00033,StageName,3 - Engaged,4 - Proposal,2023-03-31,Rachel Nguyen
HIST-0000266,OPP-00033,StageName,4 - Proposal,7 - Closed Lost,2023-06-25,Rachel Nguyen
HIST-0000267,OPP-00033,CloseDate,2023-09-30,2023-07-31,2023-09-02,Rachel Nguyen
HIST-0000268,OPP-00033,CloseDate,2023-07-31,2023-06-25,2023-09-03,Rachel Nguyen
HIST-0000269,OPP-00034,StageName,,1 - Prospecting,2024-08-09,Tyler Brooks
HIST-0000270,OPP-00034,CloseDate,,2024-11-25,2024-08-09,Tyler Brooks
HIST-0000271,OPP-00034,Amount,,123900,2024-08-09,Tyler Brooks
HIST-0000272,OPP-00034,StageName,1 - Prospecting,7 - Closed Lost,2024-11-25,Tyler Brooks
HIST-0000273,OPP-00035,StageName,,1 - Prospecting,2022-12-30,Sarah Mitchell
HIST-0000274,OPP-00035,CloseDate,,2023-03-31,2022-12-30,Sarah Mitchell
HIST-0000275,OPP-00035,Amount,,182000,2022-12-30,Sarah Mitchell
HIST-0000276,OPP-00035,StageName,1 - Prospecting,2 - Scoping,2023-02-17,Sarah Mitchell
HIST-0000277,OPP-00035,StageName,2 - Scoping,1 - Prospecting,2023-04-10,Sarah Mitchell
HIST-0000278,OPP-00035,StageName,1 - Prospecting,2 - Scoping,2023-04-26,Sarah Mitchell
HIST-0000279,OPP-00035,StageName,2 - Scoping,1 - Prospecting,2023-06-19,Sarah Mitchell
HIST-0000280,OPP-00035,StageName,1 - Prospecting,7 - Closed Lost,2023-08-30,Sarah Mitchell
HIST-0000281,OPP-00035,CloseDate,2023-03-31,2023-06-30,2023-03-17,Sarah Mitchell
HIST-0000282,OPP-00035,CloseDate,2023-06-30,2023-08-30,2023-06-02,Sarah Mitchell
HIST-0000283,OPP-00036,StageName,,1 - Prospecting,2024-06-09,Natalie Foster
HIST-0000284,OPP-00036,CloseDate,,2024-10-31,2024-06-09,Natalie Foster
HIST-0000285,OPP-00036,Amount,,392900,2024-06-09,Natalie Foster
HIST-0000286,OPP-00036,StageName,1 - Prospecting,2 - Scoping,2024-07-09,Natalie Foster
HIST-0000287,OPP-00036,StageName,2 - Scoping,7 - Closed Lost,2025-01-09,Natalie Foster
HIST-0000288,OPP-00036,CloseDate,2024-10-31,2025-01-09,2024-10-10,Natalie Foster
