opportunity_id,opportunity_name,account_id,amount,created_date,close_date,status,stage,probability
OPP-00056,Ironwood Medical Center – Compliance Program,ACC-0014,1384000,2022-05-24,2022-12-20,Won,6 - Closed Won,100
OPP-00057,Paramount Health System – Professional Services Engagement,ACC-0013,318000,2021-02-27,2021-05-17,Lost,7 - Closed Lost,0
OPP-00058,Northstar Service Solutions - Southeast Region – Managed Services Contract,ACC-0150,26000,2022-02-13,2024-02-07,Won,6 - Closed Won,100
OPP-00059,Clearfield Auto Parts – Workforce Optimization Platform,ACC-0072,2686000,2022-05-23,2024-05-22,Lost,7 - Closed Lost,0
OPP-00060,Redwood Specialty Foods - Mountain Region – Data Analytics Platform,ACC-0141,142000,2024-02-20,2024-09-29,Lost,7 - Closed Lost,0
OPP-00061,Silverline Home Goods – Digital Transformation Initiative,ACC-0059,3485000,2022-10-10,2023-01-07,Lost,7 - Closed Lost,0
OPP-00062,Greenfield Health Partners – Data Analytics Platform,ACC-0010,272000,2025-05-25,2025-08-10,Lost,7 - Closed Lost,0
OPP-00063,Redwood Specialty Foods - Southwest District – Data Analytics Platform,ACC-0140,529000,2023-01-20,2023-06-30,Won,6 - Closed Won,100
OPP-00064,Vantage Customer Solutions - Southwest District – Data Analytics Platform,ACC-0147,6000,2021-07-12,2022-09-07,Lost,7 - Closed Lost,0
OPP-00065,Coastal Support Group - Mountain Region – Digital Transformation Initiative,ACC-0153,20000,2021-11-27,2023-02-26,Lost,7 - Closed Lost,0
OPP-00066,Wisconsin Department of Education – ERP Implementation,ACC-0048,73000,2022-10-15,2023-02-01,Lost,7 - Closed Lost,0
OPP-00067,King County Government – Managed Services Contract,ACC-0047,166000,2024-12-11,2025-01-13,Lost,7 - Closed Lost,0
OPP-00068,Nexus Support Services – Compliance Program,ACC-0083,195000,2021-05-12,2021-09-19,Lost,7 - Closed Lost,0
OPP-00069,Keystone Medical Center – Workforce Optimization Platform,ACC-0029,3367000,2021-06-22,2022-04-04,Won,6 - Closed Won,100
OPP-00070,Ridgemont Healthcare - Atlantic Division – Business Intelligence Suite,ACC-0111,151000,2021-09-23,2022-12-14,Lost,7 - Closed Lost,0
OPP-00071,City of Seattle Finance - Southeast Region – Professional Services Engagement,ACC-0119,20000,2021-11-02,2023-05-20,Lost,7 - Closed Lost,0
OPP-00072,Irongate Office Supplies – Data Analytics Platform,ACC-0067,1711000,2022-07-26,2022-10-07,Lost,7 - Closed Lost,0
OPP-00073,Maple Street Market – Security Assessment,ACC-0060,173000,2021-02-04,2022-11-30,Won,6 - Closed Won,100
OPP-00074,Apex Medical Associates – Training & Enablement Program,ACC-0011,3270000,2021-05-17,2022-02-26,Lost,7 - Closed Lost,0
OPP-00075,Meridian Medical Center – ERP Implementation,ACC-0002,102000,2023-05-06,2024-02-19,Lost,7 - Closed Lost,0
OPP-00076,Highfield Consumer Goods – Data Analytics Platform,ACC-0071,911000,2021-08-13,2022-02-09,Won,6 - Closed Won,100
OPP-00077,Falcon Medical Associates – Security Assessment,ACC-0026,202000,2022-09-17,2024-03-28,Lost,7 - Closed Lost,0
OPP-00078,Summit Outdoor Retailers – Security Assessment,ACC-0062,1841000,2022-07-09,2023-07-14,Lost,7 - Closed Lost,0
OPP-00079,Summit Health Network – Managed Services Contract,ACC-0005,51000,2023-11-02,2025-06-03,Lost,7 - Closed Lost,0
OPP-00080,Coastal Home Furnishings – Digital Transformation Initiative,ACC-0065,8282000,2021-08-06,2023-06-26,Lost,7 - Closed Lost,0
OPP-00081,Crestview Service Partners – Security Assessment,ACC-0089,81000,2025-12-26,2026-04-20,Open,5 - Negotiation,80
OPP-00082,Northstar Service Solutions – Systems Integration,ACC-0094,425000,2022-12-03,2023-07-09,Lost,7 - Closed Lost,0
OPP-00083,Riverside Community Hospital - Southeast Region – ERP Implementation,ACC-0102,144000,2022-12-13,2023-02-21,Lost,7 - Closed Lost,0
OPP-00084,Riverside Community Hospital – CRM Rollout,ACC-0009,3714000,2022-06-08,2023-09-07,Won,6 - Closed Won,100
OPP-00085,Bridgepoint Customer Care – Professional Services Engagement,ACC-0091,89000,2023-11-03,2025-10-04,Lost,7 - Closed Lost,0
OPP-00086,City of Phoenix General Services – Training & Enablement Program,ACC-0031,117000,2023-07-30,2024-02-19,Won,6 - Closed Won,100
OPP-00087,Northstar Health System – ERP Implementation,ACC-0001,1807000,2022-11-05,2024-06-02,Lost,7 - Closed Lost,0
OPP-00088,Vantage Customer Solutions - Southwest District – Digital Transformation Initiative,ACC-0147,8000,2023-01-01,2023-07-22,Won,6 - Closed Won,100
OPP-00089,Apex Medical Associates – Compliance Program,ACC-0011,1091000,2024-09-05,2025-04-13,Won,6 - Closed Won,100
OPP-00090,Northstar Health System – ERP Implementation,ACC-0001,1324000,2021-07-03,2021-12-12,Lost,7 - Closed Lost,0
OPP-00091,Harborside Retail Group – Managed Services Contract,ACC-0056,2856000,2024-07-13,2025-03-23,Won,6 - Closed Won,100
OPP-00092,Crestwood Department Stores - Western Region – Professional Services Engagement,ACC-0127,62000,2026-01-03,2026-07-20,Open,3 - Engaged,25
OPP-00093,Harborside Retail Group – Professional Services Engagement,ACC-0056,3101000,2023-10-10,2024-03-26,Won,6 - Closed Won,100
OPP-00094,Horizon Contact Group – Systems Integration,ACC-0087,12000,2025-09-07,2026-06-11,Open,3 - Engaged,25
OPP-00095,Coastal Support Group – Professional Services Engagement,ACC-0097,129000,2026-02-07,2026-07-06,Open,3 - Engaged,25
OPP-00096,City of Jacksonville Finance - Atlantic Division – Workforce Optimization Platform,ACC-0123,44000,2025-08-20,2026-08-21,Open,2 - Scoping,15
OPP-00097,Prairie Contact Solutions – ERP Implementation,ACC-0099,447000,2024-08-09,2025-04-16,Won,6 - Closed Won,100
OPP-00098,Coastal Medical Alliance – Managed Services Contract,ACC-0017,227000,2021-08-03,2022-09-07,Lost,7 - Closed Lost,0
OPP-00099,BlueCrest Health System – Security Assessment,ACC-0007,91000,2023-12-25,2025-12-06,Won,6 - Closed Won,100
OPP-00100,Northstar Health System – CRM Rollout,ACC-0001,3900000,2025-03-13,2026-08-25,Open,4 - Proposal,60
OPP-00101,Crestview Service Partners – CRM Rollout,ACC-0089,11000,2025-02-17,2026-07-02,Open,1 - Prospecting,10
OPP-00102,Crestwood Department Stores - Southwest District – Business Intelligence Suite,ACC-0126,31000,2025-03-30,2025-07-28,Won,6 - Closed Won,100
OPP-00103,Northstar Service Solutions - Southeast Region – Business Intelligence Suite,ACC-0150,21000,2023-02-23,2023-05-27,Lost,7 - Closed Lost,0
OPP-00104,Georgia Department of Revenue – Professional Services Engagement,ACC-0039,25000,2024-07-19,2026-05-23,Open,1 - Prospecting,10
OPP-00105,Clearwater Health System – Data Analytics Platform,ACC-0019,184000,2025-03-03,2026-01-23,Lost,7 - Closed Lost,0
OPP-00106,Meridian Medical Center – Cloud Migration,ACC-0002,7000,2022-07-05,2024-06-07,Won,6 - Closed Won,100
OPP-00107,Ironwood Support Group – Training & Enablement Program,ACC-0093,101000,2023-11-24,2024-09-26,Lost,7 - Closed Lost,0
OPP-00108,Cedar Valley Hospital - Southeast Region – CRM Rollout,ACC-0109,363000,2024-01-30,2024-09-05,Lost,7 - Closed Lost,0
OPP-00109,Redwood Specialty Foods - Southwest District – Training & Enablement Program,ACC-0140,22000,2023-07-29,2023-10-30,Lost,7 - Closed Lost,0
OPP-00110,Westfield Service Alliance - Northeast Division – CRM Rollout,ACC-0155,9000,2026-02-21,2026-04-30,Open,1 - Prospecting,10
OPP-00111,Ridgemont Healthcare – Business Intelligence Suite,ACC-0018,1013000,2023-01-07,2023-06-06,Lost,7 - Closed Lost,0
OPP-00112,Cornerstone Pharmacy Group – Workforce Optimization Platform,ACC-0069,7547000,2024-12-11,2026-01-03,Won,6 - Closed Won,100
OPP-00113,Goldstone Jewelry Retail - Southeast Region – Business Intelligence Suite,ACC-0130,813000,2021-11-22,2021-12-10,Lost,7 - Closed Lost,0
OPP-00114,Lakewood Consumer Electronics – Network Infrastructure Upgrade,ACC-0063,2677000,2021-10-16,2022-12-31,Lost,7 - Closed Lost,0
OPP-00115,Sycamore Health Group – CRM Rollout,ACC-0016,549000,2022-10-27,2023-10-23,Lost,7 - Closed Lost,0
OPP-00116,Redwood Specialty Foods - Southwest District – CRM Rollout,ACC-0140,167000,2021-01-25,2021-12-02,Won,6 - Closed Won,100
OPP-00117,Harborside Retail Group – Digital Transformation Initiative,ACC-0056,9304000,2024-04-21,2024-07-23,Lost,7 - Closed Lost,0
OPP-00118,Paramount Health System - Northeast Division – Business Intelligence Suite,ACC-0107,122000,2022-07-29,2022-11-25,Won,6 - Closed Won,100
OPP-00119,Georgia Department of Revenue – Network Infrastructure Upgrade,ACC-0039,421000,2022-05-26,2023-03-09,Lost,7 - Closed Lost,0
OPP-00120,Elmwood Regional Medical Center – Business Intelligence Suite,ACC-0024,670000,2023-05-27,2023-07-10,Lost,7 - Closed Lost,0
OPP-00121,Crestwood Department Stores – CRM Rollout,ACC-0057,1248000,2024-02-09,2025-09-08,Won,6 - Closed Won,100
OPP-00122,BlueCrest Health System – Business Intelligence Suite,ACC-0007,2324000,2023-07-13,2025-04-17,Lost,7 - Closed Lost,0
OPP-00123,Highfield Consumer Goods - Western Region – Training & Enablement Program,ACC-0129,391000,2026-02-11,2026-07-16,Open,1 - Prospecting,10
OPP-00124,Silverline Home Goods – Business Intelligence Suite,ACC-0059,2527000,2022-06-08,2024-04-21,Won,6 - Closed Won,100
OPP-00125,City of Phoenix General Services – Business Intelligence Suite,ACC-0031,191000,2024-10-01,2025-11-23,Won,6 - Closed Won,100
OPP-00126,Highpoint Health Partners – Training & Enablement Program,ACC-0021,502000,2026-01-30,2026-06-21,Open,2 - Scoping,15
OPP-00127,Northgate Supermarkets - Southeast Region – Cloud Migration,ACC-0135,182000,2023-07-11,2024-10-05,Won,6 - Closed Won,100
OPP-00128,City of Phoenix General Services – Network Infrastructure Upgrade,ACC-0031,72000,2024-02-13,2024-05-31,Lost,7 - Closed Lost,0
OPP-00129,City of Denver Public Works – Digital Transformation Initiative,ACC-0034,131000,2025-12-23,2026-01-12,Lost,7 - Closed Lost,0
OPP-00130,City of Austin Smart City Initiative – Compliance Program,ACC-0055,199000,2022-03-07,2023-04-11,Won,6 - Closed Won,100
OPP-00131,Harborview Medical Center – Managed Services Contract,ACC-0008,851000,2023-01-08,2023-05-31,Lost,7 - Closed Lost,0
OPP-00132,Pinnacle BPO Group – Cloud Migration,ACC-0084,358000,2022-03-19,2022-07-06,Won,6 - Closed Won,100
OPP-00133,City of Austin Smart City Initiative – Infrastructure Refresh,ACC-0055,173000,2023-06-04,2024-05-03,Lost,7 - Closed Lost,0
OPP-00134,Vantage Customer Solutions - Southwest District – Training & Enablement Program,ACC-0147,4000,2023-05-21,2024-10-01,Lost,7 - Closed Lost,0
OPP-00135,Northstar Health System – Training & Enablement Program,ACC-0001,1939000,2026-03-14,2026-08-11,Open,4 - Proposal,60
OPP-00136,Harris County Administration – Business Intelligence Suite,ACC-0032,34000,2021-11-13,2022-05-02,Lost,7 - Closed Lost,0
OPP-00137,Ironwood Medical Center – Compliance Program,ACC-0014,2027000,2024-12-06,2026-04-03,Won,6 - Closed Won,100
OPP-00138,Lakeview Medical Partners – Business Intelligence Suite,ACC-0006,696000,2022-04-22,2023-12-11,Lost,7 - Closed Lost,0
OPP-00139,Westfield Service Alliance – Digital Transformation Initiative,ACC-0100,86000,2024-07-07,2025-04-05,Lost,7 - Closed Lost,0
OPP-00140,Coastal Support Group – Professional Services Engagement,ACC-0097,31000,2021-05-25,2022-04-12,Lost,7 - Closed Lost,0
OPP-00141,Bridgewater Health System – Managed Services Contract,ACC-0025,600000,2025-06-07,2026-04-25,Open,1 - Prospecting,10
OPP-00142,Hillsborough County Government – Cloud Migration,ACC-0041,193000,2022-10-10,2024-08-15,Lost,7 - Closed Lost,0
OPP-00143,Coastal Home Furnishings – Systems Integration,ACC-0065,2147000,2022-05-21,2022-07-04,Lost,7 - Closed Lost,0
OPP-00144,Streamline Support Inc. – Business Intelligence Suite,ACC-0088,14000,2022-02-02,2023-07-12,Lost,7 - Closed Lost,0
OPP-00145,Silverline Home Goods – Cloud Migration,ACC-0059,2315000,2024-09-28,2025-12-21,Lost,7 - Closed Lost,0
OPP-00146,Irongate Office Supplies – Digital Transformation Initiative,ACC-0067,3583000,2025-01-11,2026-04-01,Lost,7 - Closed Lost,0
OPP-00147,Bridgewater Health System – Training & Enablement Program,ACC-0025,1788000,2025-02-22,2026-08-07,Open,1 - Prospecting,10
OPP-00148,Vantage Customer Solutions - Central Region – Cloud Migration,ACC-0148,4000,2025-08-07,2025-11-29,Won,6 - Closed Won,100
OPP-00149,Maricopa County Government – Data Analytics Platform,ACC-0035,191000,2021-08-12,2023-05-27,Lost,7 - Closed Lost,0
OPP-00150,Westbrook Flooring & Design - Central Region – Professional Services Engagement,ACC-0133,431000,2026-02-08,2026-08-12,Open,1 - Prospecting,10
OPP-00151,Clearwater Health System – Data Analytics Platform,ACC-0019,281000,2022-03-13,2022-04-21,Lost,7 - Closed Lost,0
OPP-00152,Silverline Home Goods – Systems Integration,ACC-0059,6235000,2022-01-13,2023-03-06,Lost,7 - Closed Lost,0
OPP-00153,Goldstone Jewelry Retail - Gulf Coast Branch – Data Analytics Platform,ACC-0131,943000,2021-06-12,2021-12-13,Lost,7 - Closed Lost,0
OPP-00154,Streamline Support Inc. – Systems Integration,ACC-0088,117000,2023-08-16,2023-10-02,Lost,7 - Closed Lost,0
OPP-00155,Tennessee Department of Health – ERP Implementation,ACC-0054,189000,2022-11-11,2024-02-22,Won,6 - Closed Won,100
OPP-00156,Greenfield Health Partners – Compliance Program,ACC-0010,36000,2023-05-11,2023-09-29,Lost,7 - Closed Lost,0
OPP-00157,Stonegate Healthcare – Digital Transformation Initiative,ACC-0027,527000,2025-08-10,2026-01-30,Lost,7 - Closed Lost,0
OPP-00158,Apex Medical Associates – Training & Enablement Program,ACC-0011,2700000,2022-02-05,2023-03-08,Lost,7 - Closed Lost,0
OPP-00159,Bridgewater Health System – Digital Transformation Initiative,ACC-0025,829000,2026-01-12,2026-05-28,Open,1 - Prospecting,10
OPP-00160,Harris County Administration – Training & Enablement Program,ACC-0032,179000,2023-04-09,2023-06-04,Lost,7 - Closed Lost,0
OPP-00161,Harborview Medical Center – Workforce Optimization Platform,ACC-0008,2753000,2022-06-11,2023-01-11,Lost,7 - Closed Lost,0
OPP-00162,Sunstone Pet Supplies – Systems Integration,ACC-0080,3118000,2022-11-18,2024-08-25,Won,6 - Closed Won,100
OPP-00163,Westfield Service Alliance – Compliance Program,ACC-0100,29000,2022-07-19,2023-06-03,Won,6 - Closed Won,100
OPP-00164,Redwood Specialty Foods – CRM Rollout,ACC-0079,4388000,2021-05-14,2021-06-22,Lost,7 - Closed Lost,0
OPP-00165,Coastal Home Furnishings – Workforce Optimization Platform,ACC-0065,8476000,2025-05-09,2025-12-07,Lost,7 - Closed Lost,0
OPP-00166,Maple Street Market – Compliance Program,ACC-0060,1058000,2026-03-16,2026-08-05,Open,1 - Prospecting,10
OPP-00167,Skyline Electronics - Pacific Division – Network Infrastructure Upgrade,ACC-0139,70000,2024-11-18,2025-05-06,Lost,7 - Closed Lost,0
OPP-00168,Prairie Home Centers - Western Region – Managed Services Contract,ACC-0128,213000,2025-05-25,2026-07-14,Open,2 - Scoping,15
OPP-00169,Bridgewater Health System – ERP Implementation,ACC-0025,1690000,2022-05-22,2023-07-28,Won,6 - Closed Won,100
OPP-00170,Prairie Home Centers – CRM Rollout,ACC-0066,1821000,2021-11-26,2023-02-20,Lost,7 - Closed Lost,0
OPP-00171,Maricopa County Government – Systems Integration,ACC-0035,20000,2021-07-17,2022-10-06,Lost,7 - Closed Lost,0
OPP-00172,Vantage Customer Solutions - Pacific Division – Workforce Optimization Platform,ACC-0149,1000,2021-09-30,2022-12-15,Lost,7 - Closed Lost,0
OPP-00173,Keystone Contact Services – Security Assessment,ACC-0092,41000,2025-10-01,2025-12-17,Lost,7 - Closed Lost,0
OPP-00174,City of Charlotte Planning – Cloud Migration,ACC-0040,50000,2023-02-03,2023-11-05,Lost,7 - Closed Lost,0
OPP-00175,Keystone Apparel Group – Workforce Optimization Platform,ACC-0061,1514000,2022-04-28,2022-10-17,Won,6 - Closed Won,100
OPP-00176,Skyline Electronics – Managed Services Contract,ACC-0077,328000,2023-03-23,2023-12-20,Lost,7 - Closed Lost,0
OPP-00177,Highfield Consumer Goods – ERP Implementation,ACC-0071,2417000,2021-07-25,2023-06-09,Lost,7 - Closed Lost,0
OPP-00178,Paramount Health System – Workforce Optimization Platform,ACC-0013,334000,2025-08-05,2025-12-16,Lost,7 - Closed Lost,0
OPP-00179,Tennessee Department of Health – Professional Services Engagement,ACC-0054,437000,2022-04-22,2022-09-06,Won,6 - Closed Won,100
OPP-00180,Vantage Customer Solutions - Pacific Division – Infrastructure Refresh,ACC-0149,4000,2026-03-20,2026-04-23,Open,2 - Scoping,15
OPP-00181,Silverstone Health Network – ERP Implementation,ACC-0023,1871000,2025-05-07,2026-06-24,Open,3 - Engaged,25
OPP-00182,Ironwood Medical Center – Network Infrastructure Upgrade,ACC-0014,1471000,2024-06-23,2025-07-01,Won,6 - Closed Won,100
OPP-00183,Wisconsin Department of Education – Business Intelligence Suite,ACC-0048,19000,2022-06-07,2022-07-31,Lost,7 - Closed Lost,0
OPP-00184,Northgate Supermarkets - Mountain Region – Network Infrastructure Upgrade,ACC-0136,657000,2025-08-04,2026-02-02,Lost,7 - Closed Lost,0
OPP-00185,Elmwood Regional Medical Center – Managed Services Contract,ACC-0024,563000,2022-02-21,2022-04-09,Lost,7 - Closed Lost,0
OPP-00186,Prairie Home Centers – Data Analytics Platform,ACC-0066,1373000,2025-06-18,2026-01-21,Lost,7 - Closed Lost,0
OPP-00187,Vantage Customer Solutions – Digital Transformation Initiative,ACC-0086,10000,2021-12-02,2023-01-28,Lost,7 - Closed Lost,0
OPP-00188,Coastal Support Group - Mountain Region – Professional Services Engagement,ACC-0153,16000,2023-05-06,2023-07-12,Lost,7 - Closed Lost,0
OPP-00189,Goldstone Jewelry Retail - Gulf Coast Branch – Digital Transformation Initiative,ACC-0131,538000,2021-02-07,2022-03-01,Lost,7 - Closed Lost,0
OPP-00190,Riverside Community Hospital - Southeast Region – Digital Transformation Initiative,ACC-0102,206000,2021-01-13,2022-04-17,Lost,7 - Closed Lost,0
OPP-00191,Cedar Valley Hospital – Data Analytics Platform,ACC-0015,300000,2024-03-29,2025-04-21,Lost,7 - Closed Lost,0
OPP-00192,Coastal Medical Alliance – Digital Transformation Initiative,ACC-0017,38000,2021-10-19,2023-08-21,Lost,7 - Closed Lost,0
OPP-00193,Cornerstone Health Network – Network Infrastructure Upgrade,ACC-0012,671000,2023-01-30,2024-07-14,Won,6 - Closed Won,100
OPP-00194,Cook County Administration – Training & Enablement Program,ACC-0038,29000,2026-03-11,2026-04-12,Open,1 - Prospecting,10
OPP-00195,Paramount Health System - Northeast Division – Infrastructure Refresh,ACC-0107,114000,2025-07-07,2025-10-31,Lost,7 - Closed Lost,0
OPP-00196,Redwood Specialty Foods - Mountain Region – Workforce Optimization Platform,ACC-0141,519000,2023-09-16,2024-08-18,Won,6 - Closed Won,100
OPP-00197,Clearbridge Service Centers – Infrastructure Refresh,ACC-0085,13000,2024-12-29,2025-06-26,Lost,7 - Closed Lost,0
OPP-00198,Keystone Medical Center – Data Analytics Platform,ACC-0029,1574000,2025-09-30,2026-01-23,Lost,7 - Closed Lost,0
OPP-00199,Northgate Supermarkets – CRM Rollout,ACC-0075,186000,2023-11-27,2024-05-20,Lost,7 - Closed Lost,0
OPP-00200,Oakwood Medical Center – Managed Services Contract,ACC-0020,852000,2025-07-29,2025-11-19,Won,6 - Closed Won,100
OPP-00201,Sacramento County Administration - Mountain Region – Professional Services Engagement,ACC-0125,16000,2024-09-29,2025-09-10,Won,6 - Closed Won,100
OPP-00202,Lakewood Consumer Electronics – Security Assessment,ACC-0063,7370000,2025-05-13,2025-10-31,Lost,7 - Closed Lost,0
OPP-00203,Skyline Electronics – Training & Enablement Program,ACC-0077,425000,2024-09-11,2025-10-07,Lost,7 - Closed Lost,0
